lemma	citation_form	pos	primary_gloss	gloss_candidates	review_gloss_summary	english_glosses	all_glosses	gloss_counts	inflected_forms	token_count	form_count	compounds	top_collocates	example_verses	is_polysemous	is_grammatical	needs_review	entry_status	polysemy_notes	grammaticalization_notes	sense_count	pos_variants	entry_type	lexical_frequency	grammatical_frequency	review_priority	backend_issues
Bathsheba	Bathsheba	PROP	Bathsheba	BATHSHEBA			BATHSHEBA	BATHSHEBA:11	bathsheba	11	1		ta:2|zi:2|nu:2|ciang:2|kumpi:1	10011003|10012024|11001011|11001015|11001016	0	0	0	clean			1	PROP:11	lexical	11	0	low	
Kidron	Kidron	PROP	Kidron	KIDRON			KIDRON	KIDRON:11	kidron	11	1		kumpi:1|pai:1|phuk:1|hi:1|pan:1|vui:1|sat:1|mi:1|la:1|bup:1	10015023|11002037|11015013|12023004|12023006	0	0	0	clean			1	PROP:11	lexical	11	0	low	
mothak	mothak	N	bride	bride		bride	bride	bride:11	mothak	11	1		nu:3|puan:2|pa:2|hong:2|pasal:1|ding:1|zep:1|pia:1|lai:1|pi:1	10017003|23049018|23061010|23062005|24002002	0	0	0	clean			1	N:11	lexical	11	0	low	
zuk	zuk	N	lightning	lightning		lightning	lightning	lightning:11	zuk|zukna	11	2		guah:9|ciang:2|hong:2|ama:1|hun:1|ding:1|kum:1|khua:1|zu:1|loh:1	10021010|11008035|14006026|14007013|18028026	0	0	0	clean			1	N:11	lexical	11	0	low	
dop	dop	UNK	guard	REFL|guard|attack	REFL | guard | attack	attack|be.able|guard	REFL|attack|guard	REFL:8|guard:2|attack:1	dop|dopbawl|dopna|kidop|kidopzawh	11	5		ding:6|mi:2|gamtat:1|dawm:1|hong:1|hi:1|kam:1|khem:1	11008025|13022013|14006016|14033006|20022025	0	1	1	mixed_lex_gram			3	UNK:8|V:2|N:1	unresolved	3	8	low	multiple_pos_variants
Arabia	Arabia	PROP	Arabia	ARABIA			ARABIA	ARABIA:11	arabia	11	1		hi:3|gam:2|sum:1|aw:1	11010013|14009014|23013020|23021013|23021013	0	0	0	clean			1	PROP:11	lexical	11	0	low	
Ramothgilead-Ah	Ramothgilead-Ah	PROP	?	RAMOTHGILEAD			RAMOTHGILEAD	RAMOTHGILEAD:11	ramothgilead-ah	11	1		kumpi:3|aw:2|kuan:2|mun:1|tawi:1|tangval:1|zui:1	11022015|11022020|11022029|12008028|12009001	0	0	0	clean			1	PROP:11	lexical	11	0	low	
Zefaniah	Zefaniah	PROP	Zefaniah	ZEFANIAH|ZEFANIAH.POSS			ZEFANIAH|ZEFANIAH.POSS	ZEFANIAH:6|ZEFANIAH.POSS:5	zefaniah	11	1		nih:2|hi:2|siam:2|pa:1|ta:1|lai:1|topa:1|ni:1	12025018|13006036|24029023|24029023|24029028	0	0	0	clean			1	PROP:11	lexical	11	0	low	
lote	lote	N	non	non|REFL	non | REFL	non|non-X	REFL|non	non:9|REFL:2	kilote|lote	11	2		min:2|mawh:2|mihoih:2|gamtat:2|beh:1|thum:1|don:1|lung:1|nei:1|pa:1	13009009|18009023|18020005|19068005|20025026	0	1	1	mixed_lex_gram			2	N:11	unresolved	9	2	low	
amen	amen	UNK	Amen	AMEN			AMEN	AMEN:11	amen,”|amen.)|“amen|“amen!”|“amen,”	11	5		mi:2|hi:1|tahen:1|thu:1|phat:1|ganhing:1|hen:1|bia:1	13016036|19106048|24028006|40006013|45016024	0	0	1	clean			1	UNK:11	lexical	11	0	low	
Ornan	Ornan	PROP	Ornan	ORNAN|ORNAN.POSS			ORNAN|ORNAN.POSS	ORNAN:6|ORNAN.POSS:5	ornan	11	1		mi:4|ciang:4|kumpi:1	13021015|13021018|13021020|13021021|13021021	0	0	0	clean			1	PROP:11	lexical	11	0	low	
tangtun	tangtun	V	arrive	arrive		arrive	arrive	arrive:11	tangtun|tangtunna	11	2		thei:4|hi:4|ding:4|ngim:2|nasep:2|lam:1|deihna:1|lungdam:1|ahi:1|thu:1	13022011|15004005|18005012|18022028|20013012	0	0	0	clean			1	V:11	lexical	11	0	low	
Haggai	Haggai	PROP	Haggai	HAGGAI|HAGGAI.POSS			HAGGAI|HAGGAI.POSS	HAGGAI:10|HAGGAI.POSS:1	haggai	11	1		kamsang:7|ciang:2|kamtai:1|topa:1	15005001|15006014|37001001|37001003|37001012	0	0	0	clean			1	PROP:11	lexical	11	0	low	
zahko	zahko	N	reproach	reproach|trust|REFL		reproach|trust	REFL|reproach|trust	reproach:9|trust:1|REFL:1	kizahko|zahkona|zahkote	11	3		hong:5|ngah:2|mi:2|pai:1|lu:1|veng:1|dawn:1|pha:1|hi:1|kam:1	16002017|16004004|16005009|19079012|19119042	0	1	0	clean			3	N:11	lexical	10	1	low	
siim	siim	V	feast	feast		feast	feast	feast:11	siim|siimna	11	2		pawi:6|ding:6|puan:2|hong:1|mo:1|mi:1|buk:1|paisan:1|mihonpi:1	18001004|24012009|25002022|40022003|40022011	0	0	0	clean			1	V:11	lexical	11	0	low	
utzaw	utzaw	V	destruction	destruction|REFL		destruction	REFL|destruction	destruction:10|REFL:1	ki-utzaw|utzaw	11	2		ding:10|hi:4|sia:2|ahi:2|lehang:1|ci:1|ahih:1|lai:1	18007015|23065012|23066004|26020016|27003028	0	1	0	clean			2	V:11	lexical	10	1	low	
zua~zua	zua~zua	UNK	prepare~REDUP	prepare~REDUP		prepare~REDUP	prepare~REDUP	prepare~REDUP:11	zuazua|zuazua-in	11	2		ging:5|kuang:2|hang:1|lai:1|tuan:1|lianpi:1	19046001|19046001|24005022|24031035|26037007	0	0	1	clean			1	UNK:11	lexical	11	0	low	
Mediterranean	Mediterranean	PROP	Mediterranean	MEDITERRANEAN			MEDITERRANEAN	MEDITERRANEAN:11	mediterranean	11	1		gam:4|hi:2|zui:1|ding:1|om:1|huih:1	19089025|23009001|26047010|26047015|26047017	0	0	0	clean			1	PROP:11	lexical	11	0	low	
gog	gog	UNK	Gog	Gog		Gog	Gog	Gog:11	gog	11	1		uk:2|ahi:2|om:1|tuam:1|aw:1|ding:1|hi:1|tawm:1	26038002|26038003|26038010|26038018|26038021	0	0	1	clean			1	UNK:11	lexical	11	0	low	
lawki	lawki	UNK	Gentile	Gentile		Gentile	Gentile	Gentile:11	lawki|lawkite	11	2		mahmah:2|bia:2|ciang:1|ding:1|khen:1|tun:1|ci:1	28007014|30007017|36001009|44007051|46005001	0	0	1	clean			1	UNK:11	lexical	11	0	low	
Zebedi	Zebedi	PROP	?	ZEBEDI.POSS|ZEBEDI	ZEBEDI.POSS | ZEBEDI		ZEBEDI|ZEBEDI.POSS	ZEBEDI.POSS:7|ZEBEDI:4	zebedi	11	1		ciang:4|ahi:2|naupa:1|pa:1|lai:1|khua:1	40004021|40010002|40020020|40026037|40027056	1	0	1	polysemous_review			1	PROP:11	lexical	11	0	low	
Thomas	Thomas	PROP	Thomas	THOMAS			THOMAS	THOMAS:11	thomas	11	1		nei:3|lai:1|hun:1|amau:1	40010003|41003018|42006015|43011016|43014005	0	0	0	clean			1	PROP:11	lexical	11	0	low	
Iskariot	Iskariot	PROP	?	ISKARIOT.POSS|ISKARIOT			ISKARIOT|ISKARIOT.POSS	ISKARIOT.POSS:8|ISKARIOT:3	iskariot	11	1		lehhek:2|pan:2|sung:1|pa:1|ahih:1|ding:1|dawimangpa:1|diah:1|ciang:1	40010004|40026014|41003019|41014010|42006016	0	0	0	clean			1	PROP:11	lexical	11	0	low	
Sisar	Sisar	PROP	?	SISAR.POSS|SISAR	SISAR.POSS | SISAR		SISAR|SISAR.POSS	SISAR.POSS:6|SISAR:5	sisar	11	1		kumpi:6|ciang:2|uk:2|nei:1	40022017|40022021|41012014|41012016|41012017	1	0	1	polysemous_review			1	PROP:11	lexical	11	0	low	
Magdala	Magdala	PROP	Magdala	MAGDALA			MAGDALA	MAGDALA:11	magdala	11	1		lak:2|ciang:2|hawl:1|numei:1|zi:1|ma:1|ahih:1	40027056|40027061|40028001|41015040|41015047	0	0	0	clean			1	PROP:11	lexical	11	0	low	
Marka	Marka	PROP	Marka	MARKA			MARKA	MARKA:11	marka	11	1		ciang:2|ta:2|ciah:1|ding:1|pan:1|ahi:1|kikhen:1|hi:1|nasep:1	44012012|44012025|44013005|44013013|44015037	0	0	0	clean			1	PROP:11	lexical	11	0	low	
Apollos	Apollos	PROP	Apollos	APOLLOS|APOLLOS.POSS			APOLLOS|APOLLOS.POSS	APOLLOS:9|APOLLOS.POSS:2	apollos	11	1		khua:2|inn:1|gam:1|pawl:1|lehang:1|hi:1|phut:1|thu:1|sanggam:1	44018024|44018026|44018027|44019001|46001012	0	0	0	clean			1	PROP:11	lexical	11	0	low	
Jafeth	Jafeth	PROP	Jafeth	JAFETH|JAFETH.POSS			JAFETH|JAFETH.POSS	JAFETH:7|JAFETH.POSS:3	jafeth	10	1		ciang:2|tapa:2|ta:1|pasian:1|pupi:1|nei:1	01005032|01006010|01007013|01009018|01009023	0	0	0	clean			1	PROP:10	lexical	10	0	low	
tawle	tawle	UNK	window	window		window	window	window:10	tawlette	10	1		van:4|kimkot:2|ding:1|golzaw:1|hi:1|tung:1	01007011|01008002|11006004|12007002|12007019	0	0	1	clean			1	UNK:10	lexical	10	0	low	
tuumcip	tuumcip	N	water	water		water	water	water:10	tuumcip	10	1		hi:9|hong:3|ding:2|sang:1|thuk:1|gal:1|mual:1|gawp:1|tui:1	01007019|01007020|18022011|19078053|19104006	0	0	0	clean			1	N:10	lexical	10	0	low	
Ofir	Ofir	PROP	Ofir	OFIR			OFIR	OFIR:10	ofir	10	1		tham:2|hon:1|zut:1|ngaihsun:1|taklam:1|mi:1	01010029|11010011|11010011|13001023|13029004	0	0	0	clean			1	PROP:10	lexical	10	0	low	
Mamre	Mamre	PROP	Mamre	MAMRE			MAMRE	MAMRE:10	mamre	10	1		gam:2|om:2|pan:2|hi:1|ciang:1	01013018|01014013|01018001|01020001|01023017	0	0	0	clean			1	PROP:10	lexical	10	0	low	
tonu	tonu	N	mistress	mistress|mistress.POSS		mistress	mistress|mistress.POSS	mistress:8|mistress.POSS:2	tonu|“tonu	10	2		hi:2|numei:2|it:2|ciang:1|simmawh:1|Sarai:1|pan:1|ama:1|ciah:1|samaria:1	01016004|01016008|01016009|12005003|19123002	0	0	0	clean			1	N:10	lexical	10	0	low	
Bethuel	Bethuel	PROP	?	BETHUEL.POSS|BETHUEL	BETHUEL.POSS | BETHUEL		BETHUEL|BETHUEL.POSS	BETHUEL.POSS:6|BETHUEL:4	bethuel	10	1		ta:3|mi:2|ciang:1|pa:1	01022022|01022023|01024015|01024024|01024047	1	0	1	polysemous_review			1	PROP:10	lexical	10	0	low	
daih	daih	UNK	able	able|bear|wide|silence	able | bear | wide	able|bear|silence|wide	able|bear|silence|wide	able:4|bear:3|wide:2|silence:1	daih|daihna|daihna-ah|daihsak|daihsakna|daihtheih	10	6		lung:2|ding:2|sinso:1|gam:1|pai:1|huih:1|pia:1|lang:1|hi:1|hang:1	01027045|03016022|11019011|13022009|19008002	1	0	1	polysemous_review			4	UNK:4|N:3|V:3	lexical	10	0	low	multiple_pos_variants
Bilhah	Bilhah	PROP	Bilhah	BILHAH|BILHAH.POSS			BILHAH|BILHAH.POSS	BILHAH:9|BILHAH.POSS:1	bilhah	10	1		nu:5|zineu:1|zi:1|pia:1|hi:1	01029029|01030003|01030004|01030005|01030007	0	0	0	clean			1	PROP:10	lexical	10	0	low	
almond	almond	N	almond	almond		almond	almond	almond:10	almond	10	1		gah:7|om:6|kung:2|bawl:1|pa:1|min:1|kici:1|sing:1	01030037|01043011|02025033|02025033|02025034	0	0	0	clean			1	N:10	lexical	10	0	low	
innkuante	innkuante	UNK	household	household		household	household	household:10	innkuante	10	1		ahih:2|pa:1|ciang:1|inn:1|gamta:1	01033019|01037002|09003014|10003001|12008018	0	0	1	clean			1	UNK:10	lexical	10	0	low	
Reuel	Reuel	PROP	?	REUEL.POSS|REUEL	REUEL.POSS | REUEL		REUEL|REUEL.POSS	REUEL.POSS:6|REUEL:4	reuel	10	1		ta:3|nei:1|om:1|pa:1|mi:1|tapa:1	01036004|01036010|01036013|01036017|01036017	1	0	1	polysemous_review			1	PROP:10	lexical	10	0	low	
Adullam	Adullam	PROP	Adullam	ADULLAM			ADULLAM	ADULLAM:10	adullam	10	1		lai:2|pai:1|ding:1|khat:1|hem:1|hi:1	01038001|01038020|06012015|06015035|09022001	0	0	0	clean			1	PROP:10	lexical	10	0	low	
dip	dip	UNK	valley	valley|dip		dip|valley	dip|valley	valley:8|dip:2	dip|dip-humna|dipna|dipsakin	10	4		dah:4|an:1|van:1|kah:1|om:1|huih:1|kua:1|tui:1|ding:1|ngam:1	01042025|17004003|18037001|18037001|23030014	0	0	0	clean			2	UNK:7|V:2|N:1	lexical	10	0	low	multiple_pos_variants
gawl	gawl	UNK	neck	neck|empty|REFL|throat|pond	neck | empty | REFL	empty|neck|pond|throat	REFL|empty|neck|pond|throat	neck:4|empty:2|REFL:2|throat:1|pond:1	gawl|gawlgui|gawlin|gawlmek|kigawlmek	10	5		luang:3|hi:2|pasian:1|ngaihsun:1|bang:1|hai:1|pa:1	01049008|18016012|19005009|19062003|20023031	0	1	1	mixed_lex_gram			5	UNK:10	unresolved	8	2	low	
paito	paito	UNK	Paito	PAITO		go	PAITO	PAITO:10	“paito|“paito,”|“paito-in	10	3		topa:2|ama:2|ciang:2|dawng:1|sawl:1|zah:1	01050006|06007002|07020028|10002001|10024018	0	0	1	clean			1	UNK:10	lexical	10	0	low	
levi	levi	UNK	Levi	LEVI			LEVI	LEVI:10	“levi	10	1		heh:1|gen:1	02004014|04001049|04003006|04003015|04004002	0	0	1	clean			1	UNK:10	lexical	10	0	low	
Mushi	Mushi	PROP	Mushi	MUSHI|MUSHI.POSS			MUSHI|MUSHI.POSS	MUSHI:8|MUSHI.POSS:2	mushi	10	1		tapa:3|min:1|mi:1|beh:1|pa:1|suan:1	02006019|04003020|04003033|04026058|13006019	0	0	0	clean			1	PROP:10	lexical	10	0	low	
sungtawng	sungtawng	V	within	within		within	within	within:10	sungtawng	10	1		inn:2|tui:2|hang:2|nasem:1|koih:1|bia:1|Samaria-Ah:1|that:1|samsiat:1|zang:1	02009014|11006019|12015025|18038016|19062004	0	0	0	clean			1	V:10	lexical	10	0	low	
tubang	tubang	N	morrow	morrow		morrow	morrow	morrow:10	tubang	10	1		hun:10|ciang:9|lai:1	02009018|06011006|09009016|09020012|11019002	0	0	0	clean			1	N:10	lexical	10	0	low	
ga	ga	N	hook	hook		hook	hook	hook:10	ga|gahin|gakin	10	3		hi:2|khedap:2|lu:1|silh:1|puan:1|hei:1|pan:1|Jezreel:1|khua:1|tak:1	02012011|02029009|03008007|05019003|11018046	0	0	0	clean			1	N:10	lexical	10	0	low	
mihonpite	mihonpite	UNK	noble	noble|MIHONPITE		noble	MIHONPITE|noble	noble:8|MIHONPITE:2	mihonpite|“mihonpite	10	2		ciang:3|hi:2|khupnelh:1|khawm:1|ci:1|nungzui:1|ahi:1	02014019|04016033|14020024|15010014|18033027	0	0	1	clean			2	UNK:10	lexical	10	0	low	
phial	phial	UNK	flash	flash|morning	flash | morning	flash|morning	flash|morning	flash:7|morning:3	phial|phialgawp|phialin	10	3		zah:2|bang:2|mihonpi:1|nei:1|um:1|sa:1|mi:1|hong:1|ding:1|ahi:1	02014024|08001012|10023022|26016051|26016052	1	0	1	polysemous_review			2	UNK:7|DET:3	lexical	10	0	low	multiple_pos_variants
khal	khal	UNK	dew	dew|cool|chasten	dew | cool | chasten	chasten|cool|dew	chasten|cool|dew	dew:4|cool:4|chasten:2	khal|khalcip|khalcipin|khalguah|khalna|khalsak	10	6		hong:3|tui:2|thuk:1|tung:1|ta:1|thu:1|teng:1|lei:1|hi:1|hilh:1	02015008|02016014|05004036|05008005|05008005	1	0	1	polysemous_review			3	UNK:6|N:3|V:1	lexical	10	0	low	multiple_pos_variants
upate	upate	UNK	elder	elder		elder	elder	elder:10	upate	10	1		ganhing:2|hi:1|thei:1|mi:1|om:1|pah:1|ama:1	02017006|04011016|05025009|08004004|15010008	0	0	1	clean			1	UNK:10	lexical	10	0	low	
lot	lot	V	cast	cast		cast	cast	cast:10	lot|lotsak|lotte	10	3		thaltang:4|ding:2|ui:1|va:1|tuk:1|mawk:1|galhiam:1|meikhuk:1|hi:1|thal:1	02022031|09020036|09020037|11022034|12019018	0	0	0	clean			1	V:10	lexical	10	0	low	
Uri	Uri	PROP	?	URI.POSS|URI	URI.POSS | URI		URI|URI.POSS	URI.POSS:5|URI:5	uri	10	1		ta:4|ahi:2|hi:1|pan:1	02031002|02035030|02035030|02038022|11004019	1	0	1	polysemous_review			1	PROP:10	lexical	10	0	low	
nate	nate	N	nominalizer	NMLZ		nominalizer	NMLZ	NMLZ:10	nate	10	1		thu:2|ding:2|om:2|zui:2|khap:1|pia:1|lam:1|hang:1|siangtho:1|sum:1	03006002|05004019|05028067|12012004|18036018	0	1	0	clean			1	N:10	grammatical	0	10	low	
leibeel	leibeel	N	pot	pot		pot	pot	pot:10	leibeel|leibeelte	10	2		suk:2|bang:2|khat:2|kihuanna:1|kuang:1|mangbuh:1|tha:1|phel:1|zut:1|pai:1	03006028|10017028|19022015|20026023|24019001	0	0	0	clean			1	N:10	lexical	10	0	low	
nen	nen	N	face	face|pieces|soft|REFL		face|pieces|soft	REFL|face|pieces|soft	face:7|pieces:1|soft:1|REFL:1	kinenniamnate|nen|nenniamna|nenniamnate	10	4		thuak:3|hi:2|mi:2|tung:1|kumpi:1|mu:1|haksat:1|thu:1|gamla:1|khawl:1	03009013|12013004|19107039|21004001|23023012	0	1	1	clean			4	N:9|UNK:1	lexical	9	1	low	multiple_pos_variants
zawk	zawk	N	more	more		more	more	more:10	zawk|zawkna	10	2		ham:2|om:2|thuk:1|haksat:1|zah:1|sia:1|thei:1|sau:1|phawk:1|thong:1	03014037|10002026|19096004|21006008|21007026	0	0	1	clean			1	N:6|UNK:4	lexical	10	0	low	multiple_pos_variants
pai~pai	pai~pai	UNK	go~REDUP	go~REDUP		go~REDUP	go~REDUP	go~REDUP:10	paipai|paipai-in	10	2		natui:1|hong:1|tung:1|ban:1|pawi:1|siat:1|meikhuk:1|sak:1|lungdam:1|mi:1	03015003|13012022|19055010|23029001|23029001	0	0	1	clean			1	UNK:10	lexical	10	0	low	
Molek	Molek	PROP	Molek	MOLEK			MOLEK	MOLEK:10	molek	10	1		khat:1|ci:1|mai:1|pasian:1|ahi:1|ciang:1|tanu:1	03018021|03020002|03020003|03020004|03020005	0	0	0	clean			1	PROP:10	lexical	10	0	low	
kholhna	kholhna	UNK	divination	divination		divination	divination	divination:10	kholhna|kholhnate	10	2		thu:10	03019026|12021006|14009029|26012027|26013006	0	0	1	clean			1	UNK:10	lexical	10	0	low	
mettol	mettol	N	head	head|REFL	head | REFL	head	REFL|head	head:8|REFL:2	kimettol|kimettolsak|mettol	10	3		lu:5|sam:5|ding:5|kha:3|khe:1|dah:1	03021005|05014001|23007020|23015002|24007029	0	1	1	mixed_lex_gram			2	N:9|V:1	unresolved	8	2	low	multiple_pos_variants
nan	nan	N	narrow	narrow|fall|2PL	narrow | fall | 2PL	fall|narrow|you.all	2PL|fall|narrow	narrow:6|fall:2|2PL:2	nan|nanna|nannate|nanzawh	10	4		ding:3|om:2|hi:2|gal:1|vangliat:1|singbek:1|tui:1|sung:1|ciatah:1|ciat:1	03026037|11006006|11007030|11007030|11007034	0	1	1	mixed_lex_gram			3	N:6|V:2|UNK:2	unresolved	8	2	low	multiple_pos_variants
Ammihud	Ammihud	PROP	?	AMMIHUD.POSS|AMMIHUD			AMMIHUD|AMMIHUD.POSS	AMMIHUD.POSS:8|AMMIHUD:2	ammihud	10	1		pan:2|ta:2|pa:1|makai:1|hi:1|mihon:1|khat:1|kumpi:1	04001010|04002017|04007048|04007053|04010022	0	0	0	clean			1	PROP:10	lexical	10	0	low	
lianlua	lianlua	V	too.much	too.much		too.much	too.much	too.much:10	lianlua	10	1		mahmah:4|hi:2|ding:2|tavuan:1|lua:1|lam:1|siat:1|ahih:1|dah:1|lung:1	04011014|06019009|19131001|24019003|27005019	0	0	0	clean			1	V:10	lexical	10	0	low	
liak	liak	N	lord	lord|lick	lord | lick	lick|lord	lick|lord	lord:7|lick:3	liak|liaktum	10	2		mi:4|tui:3|sisan:3|ding:3|mang:1|khut:1|tum:1|thei:1|takin:1|cimawh:1	04022004|07007005|07007006|07007007|11021019	1	0	1	polysemous_review			2	N:7|V:3	lexical	10	0	low	multiple_pos_variants
kaw	kaw	UNK	hollow	hollow|1SG→3|call	hollow | 1SG→3 | call	call|cause|hollow	1SG→3|call|hollow	hollow:6|1SG→3:3|call:1	kawcik|kawcikin|kongkawcipsak|kongkawsak	10	4		mun:2|ding:1|zaw:1|tun:1|nau:1|ahih:1|buak:1|gimsak:1|tuk:1|hi:1	04022026|23049019|23049020|26042005|40007013	1	0	1	polysemous_review			3	UNK:7|V:3	lexical	10	0	low	multiple_pos_variants
Zelofehad	Zelofehad	PROP	?	ZELOFEHAD.POSS|ZELOFEHAD	ZELOFEHAD.POSS | ZELOFEHAD		ZELOFEHAD|ZELOFEHAD.POSS	ZELOFEHAD.POSS:6|ZELOFEHAD:4	zelofehad	10	1		ta:3|hi:2|sanggampa:1|thupiak:1|ci:1|min:1	04026033|04026033|04027001|04036002|04036006	1	0	1	polysemous_review			1	PROP:10	lexical	10	0	low	
makaite	makaite	UNK	prince	prince|MAKAITE		leader|prince	MAKAITE|prince	prince:8|MAKAITE:2	makaite|“makaite	10	2		mai:1|ahi:1|mi:1|ciang:1|nei:1|gam:1|zukham:1|dih:1|dawng:1	04027002|04036001|05033021|06009021|07005002	0	0	1	clean			2	UNK:10	lexical	10	0	low	
Jair	Jair	PROP	Jair	JAIR|JAIR.POSS			JAIR|JAIR.POSS	JAIR:7|JAIR.POSS:3	jair	10	1		mi:2|ta:2|pan:1|om:1|ciang:1|hi:1	04032041|05003014|06013030|07010003|07010005	0	0	0	clean			1	PROP:10	lexical	10	0	low	
beeroth	beeroth	UNK	Beeroth	Beeroth|BEEROTH		Beeroth	BEEROTH|Beeroth	Beeroth:9|BEEROTH:1	(beeroth|beeroth	10	2		hi:1|ci:1|hang:1|tawi:1|pua:1|khua:1	05010006|10004002|10004002|10004003|10004005	0	0	1	clean			1	UNK:10	lexical	10	0	low	
maavang	maavang	N	prosper	prosper		prosper	prosper	prosper:10	maavang	10	1		ding:7|hi:5|sep:2|nakleh:1|um:1|suak:1|lung:1|nasep:1|peuhmah:1	05028029|12018007|13022013|14014007|14020020	0	0	0	clean			1	N:10	lexical	10	0	low	
lik	lik	V	turn.back	turn.back|REFL|burden|roll	turn.back | REFL | burden	burden|roll|turn.back	REFL|burden|roll|turn.back	turn.back:3|REFL:3|burden:2|roll:2	kilikkhia|lik|likkhia|likkhiat|likkhiatsak|likngam	10	6		suangtum:4|ci:2|ding:2|suang:2|siknazat:1|khut:1|lai:1|mi:1|ciang:1|hong:1	06008029|26022014|38012003|40028002|41016003	0	1	1	mixed_lex_gram			4	V:6|N:4	unresolved	7	3	low	multiple_pos_variants
baal	baal	UNK	Baal	BAAL			BAAL	BAAL:10	baalah|baalah-ah|“baal	10	3		ciang:3|kual:1|tung:1|ngen:1|pia:1|uk:1|kici:1|pasian:1	06015009|06015010|06015011|07006031|11018026	0	0	1	clean			1	UNK:10	lexical	10	0	low	
Zif	Zif	PROP	Zif	ZIF|ZIF.POSS			ZIF|ZIF.POSS	ZIF:9|ZIF.POSS:1	zif	10	1		ciang:2|hi:1|tulthum:1|ta:1|tapa:1	06015024|06015055|09023014|09023015|09023019	0	0	0	clean			1	PROP:10	lexical	10	0	low	
Ziklag	Ziklag	PROP	Ziklag	ZIKLAG			ZIKLAG	ZIKLAG:10	ziklag	10	1		tung:1|ni:1|ciang:1|hi:1|mei:1	06015031|06019005|09027006|09030001|09030001	0	0	0	clean			1	PROP:10	lexical	10	0	low	
Keilah	Keilah	PROP	Keilah	KEILAH			KEILAH	KEILAH:10	keilah	10	1		ding:2|en:1|sim:1|hi:1|suan:1|zom:1|beh:1	06015044|09023001|09023002|09023008|09023011	0	0	0	clean			1	PROP:10	lexical	10	0	low	
Zalmunna	Zalmunna	PROP	Zalmunna	ZALMUNNA			ZALMUNNA	ZALMUNNA:10	zalmunna	10	1		ding:3|ciang:3|kumpi:2|topa:1|ci:1	07008005|07008006|07008007|07008012|07008012	0	0	0	clean			1	PROP:10	lexical	10	0	low	
kui	kui	UNK	tear	tear|REFL|ring|leg	tear | REFL | ring	forbid|leg|ring|tear|wound	REFL|leg|ring|tear	tear:5|REFL:3|ring:1|leg:1	kikui|kikuikham|kikuiliam|kui|kuikek|kuikham|kuiliam	10	7		pumpi:2|ding:2|hi:2|sa:1|tung:1|lei:1|hong:1|sam:1|khut:1|nawi:1	07008007|09021013|18041030|19129003|24016006	0	1	1	mixed_lex_gram			4	UNK:6|N:2|V:2	unresolved	7	3	low	multiple_pos_variants
Bethel-A	Bethel-A	PROP	?	BETHEL			BETHEL	BETHEL:10	bethel-a	10	1		pan:1|mi:1|kha:1|ci:1|pai:1|hi:1|ciang:1|aw:1|mei:1	09010003|11012030|11012033|11013004|11013032	0	0	0	clean			1	PROP:10	lexical	10	0	low	
Nahash	Nahash	PROP	Nahash	NAHASH|NAHASH.POSS			NAHASH|NAHASH.POSS	NAHASH:6|NAHASH.POSS:4	nahash	10	1		mi:4|kumpi:2|gam:1|hi:1|pan:1|ahih:1	09011001|09011001|09011002|09011010|09012012	0	0	0	clean			1	PROP:10	lexical	10	0	low	
vompi	vompi	N	bear	bear		bear	bear	bear:10	vompi	10	1		laksak:3|hong:3|heh:1|pan:1|khat:1|gil:1|ha:1|bawng:1|an:1|hum:1	10017008|12002024|20017012|20028015|23011007	0	0	0	clean			1	N:10	lexical	10	0	low	
ngap	ngap	UNK	cross	cross|ankle|REFL	cross | ankle | REFL	ankle|cross	REFL|ankle|cross	cross:5|ankle:3|REFL:2	kingapna|ngap|ngaptansak|ngapzo	10	4		hong:3|hi:2|ciang:2|ngah:1|kumpi:1|gal:1|tung:1|pa:1|khuk:1|kawng:1	10019018|12007002|12007017|18040010|26047003	0	1	1	mixed_lex_gram			3	UNK:5|V:3|N:2	unresolved	8	2	low	multiple_pos_variants
Shefelah	Shefelah	PROP	Shefelah	SHEFELAH			SHEFELAH	SHEFELAH:10	shefelah	10	1		ol:2|khua:2|sing:1|lam:1|mi:1|gam:1|ding:1	11010027|13027028|14001015|14009027|14026010	0	0	0	clean			1	PROP:10	lexical	10	0	low	
Damaskas-Ah	Damaskas-Ah	PROP	?	DAMASKAS			DAMASKAS	DAMASKAS:10	damaskas-ah	10	1		kumpi:2|hi:1|teng:1|bawl:1|lai:1|ciang:1|gam:1|kham:1|sa:1	11011024|11011024|11015018|11020034|12008007	0	0	0	clean			1	PROP:10	lexical	10	0	low	
Hanani	Hanani	PROP	Hanani	HANANI|HANANI.POSS			HANANI|HANANI.POSS	HANANI:7|HANANI.POSS:3	hanani	10	1		sanggampa:2|ciang:1|hang:1|tapa:1|giat:1|pa:1|ding:1|ciam:1|pan:1	11016001|11016007|13025004|13025025|14016007	0	0	0	clean			1	PROP:10	lexical	10	0	low	
kangtum	kangtum	N	consume	consume|brass	consume | brass	brass|consume	brass|consume	consume:7|brass:3	kangtumin|kangtumsa|kangtumsakin|kangtumthei	10	4		nin:3|mei:3|hong:2|leivui:1|hawk:1|ahi:1|kam:1|meikuang:1|hiang:1|ging:1	11018038|16004002|20016027|24011016|26024011	1	0	1	polysemous_review			2	N:10	lexical	10	0	low	
