lexeme_id	form_i	form_ii	gloss	grammar_status	discussion_order	form_i_attestation_summary	form_ii_attestation_summary	main_contexts_for_form_i	main_contexts_for_form_ii	best_citation_rows	contexts_to_discuss	main_generalization_for_this_pair	caveats	blocked_or_noisy_material	recommended_prose_treatment	include_in_core_showcase_table	include_in_promoted_pair_inventory	include_in_pair_by_pair_discussion	notes
hi-hih	hi	hih	be	one_sided_bible_attestation	650	46932 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:34200; quotative_or_say_complement:7851; negative_clause:5274. Best examples: Zephaniah 3:9 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:4660; nominalized_na:572; negative_clause:366. Current best rows: Zechariah 1:21 `hih` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:5 `hih` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:13 `hih` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:34200; quotative_or_say_complement:7851; negative_clause:5274	unknown_or_needs_review:4660; nominalized_na:572; negative_clause:366	Zephaniah 3:9 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:8 `hi` [finite_main_or_matrix; needs_analyzer_review] Zechariah 1:21 `hih` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:5 `hih` [finite_main_or_matrix; needs_analyzer_review]; Ruth 3:13 `hih` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; quotative_or_say_complement; negative_clause; unknown_or_needs_review; nominalized_na	The lexical item is probably real, but the Bible evidence is still one-sided or constructionally skewed.	category mismatch	Blocked noisy material includes hihsak, kihihsakna, kihisakin, kihihsakpih.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
kho-khot	kho	khot	labor	one_sided_bible_attestation	660	No current Bible attestation in the audit.	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:2. Current best rows: Matthew 19:21 `khotte` [unknown_or_needs_review; needs_analyzer_review]; Luke 18:22 `khotte` [unknown_or_needs_review; needs_analyzer_review].		unknown_or_needs_review:2	Matthew 19:21 `khotte` [unknown_or_needs_review; needs_analyzer_review]; Luke 18:22 `khotte` [unknown_or_needs_review; needs_analyzer_review]	unknown_or_needs_review	The lexical item is probably real, but the Bible evidence is still one-sided or constructionally skewed.	analyzer pair only	No specific noisy family is central to the current grammar note.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
ne-neh	ne	neh	eat	one_sided_bible_attestation	670	No current Bible attestation in the audit.	No clean verbal exact rows survive yet. Current Bible hits cluster in finite_main_or_matrix:13; unknown_or_needs_review:13; negative_clause:6. Current best rows: Luke 23:10 `neh` [finite_main_or_matrix; needs_analyzer_review]; Genesis 19:9 `neh` [finite_main_or_matrix; needs_analyzer_review]; Genesis 19:9 `neh` [finite_main_or_matrix; needs_analyzer_review].		finite_main_or_matrix:13; unknown_or_needs_review:13; negative_clause:6	Luke 23:10 `neh` [finite_main_or_matrix; needs_analyzer_review]; Genesis 19:9 `neh` [finite_main_or_matrix; needs_analyzer_review]; Genesis 19:9 `neh` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; unknown_or_needs_review; negative_clause	The lexical item is probably real, but the Bible evidence is still one-sided or constructionally skewed.	analyzer pair only	No specific noisy family is central to the current grammar note.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
no-noh	no	noh	young	one_sided_bible_attestation	680	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:555; nominalized_na:129; finite_main_or_matrix:20. Current best rows: Matthew 24:32 `no` [dependent_temporal_ciangin; needs_analyzer_review]; Mark 13:28 `no` [dependent_temporal_ciangin; needs_analyzer_review]; Genesis 39:17 `no` [purpose_nadingin; needs_analyzer_review].	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:1; finite_main_or_matrix:1. Current best rows: Genesis 26:8 `noh` [unknown_or_needs_review; needs_analyzer_review]; Judges 20:43 `Nohah` [finite_main_or_matrix; needs_analyzer_review].	unknown_or_needs_review:555; nominalized_na:129; finite_main_or_matrix:20	unknown_or_needs_review:1; finite_main_or_matrix:1	Matthew 24:32 `no` [dependent_temporal_ciangin; needs_analyzer_review]; Mark 13:28 `no` [dependent_temporal_ciangin; needs_analyzer_review]; Genesis 39:17 `no` [purpose_nadingin; needs_analyzer_review] Genesis 26:8 `noh` [unknown_or_needs_review; needs_analyzer_review]; Judges 20:43 `Nohah` [finite_main_or_matrix; needs_analyzer_review]	unknown_or_needs_review; nominalized_na; finite_main_or_matrix	The lexical item is probably real, but the Bible evidence is still one-sided or constructionally skewed.	category mismatch	Blocked noisy material includes nosuaksakkik, nosakkik, nosak.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
si-sit	si	sit	die	one_sided_bible_attestation	690	836 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:734; negative_clause:64; purpose_nadingin:24. Best examples: Zephaniah 1:11 `si` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 9:7 `si` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 14:8 `Si` [finite_main_or_matrix; needs_analyzer_review].	20 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:15; negative_clause:2; purpose_nadingin:2. Best examples: Matthew 10:18 `sit` [finite_main_or_matrix; needs_analyzer_review]; Luke 23:14 `sit` [finite_main_or_matrix; needs_analyzer_review]; Luke 19:22 `sit` [finite_main_or_matrix; needs_analyzer_review].	finite_main_or_matrix:734; negative_clause:64; purpose_nadingin:24	finite_main_or_matrix:15; negative_clause:2; purpose_nadingin:2	Zephaniah 1:11 `si` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 9:7 `si` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 14:8 `Si` [finite_main_or_matrix; needs_analyzer_review] Matthew 10:18 `sit` [finite_main_or_matrix; needs_analyzer_review]; Luke 23:14 `sit` [finite_main_or_matrix; needs_analyzer_review]; Luke 19:22 `sit` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; negative_clause; purpose_nadingin	The lexical item is probably real, but the Bible evidence is still one-sided or constructionally skewed.	needs manual philological review	No specific noisy family is central to the current grammar note.	Mention it in the one-sided section rather than in the core showcase table or promoted-pair inventory.	no	no	no	Use the lexical inventory for source tracking; this plan row only marks the item as one-sided in current Bible evidence.
hoih-hoih	hoih	hoih	good	same_form_questionnaire_control	700	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:490; negative_clause:90; finite_main_or_matrix:43. Current best rows: Titus 3:8 `hoih` [finite_main_or_matrix; needs_analyzer_review]; Romans 14:4 `hoih` [finite_main_or_matrix; needs_analyzer_review]; Psalms 147:1 `hoih` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	unknown_or_needs_review:490; negative_clause:90; finite_main_or_matrix:43		Titus 3:8 `hoih` [finite_main_or_matrix; needs_analyzer_review]; Romans 14:4 `hoih` [finite_main_or_matrix; needs_analyzer_review]; Psalms 147:1 `hoih` [finite_main_or_matrix; needs_analyzer_review]	unknown_or_needs_review; negative_clause; finite_main_or_matrix	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
khawl-khawl	khawl	khawl	rest	same_form_questionnaire_control	710	104 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:66; negative_clause:16; imperative_or_directive:15. Best examples: Zechariah 1:8 `khawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 1:11 `khawl` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 1:7 `khawl` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:66; negative_clause:16; imperative_or_directive:15		Zechariah 1:8 `khawl` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 1:11 `khawl` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 1:7 `khawl` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; negative_clause; imperative_or_directive	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
khen-khen	khen	khen	divide	same_form_questionnaire_control	720	257 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:200; negative_clause:22; purpose_nadingin:19. Best examples: Romans 9:28 `khen` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:27 `khen` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:11 `khen` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:200; negative_clause:22; purpose_nadingin:19		Romans 9:28 `khen` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:27 `khen` [finite_main_or_matrix; needs_analyzer_review]; Romans 2:11 `khen` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; negative_clause; purpose_nadingin	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
khum-khum	khum	khum	cover/lock	same_form_questionnaire_control	730	60 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:56; imperative_or_directive:2; purpose_nadingin:1. Best examples: Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 5:16 `khum` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:56; imperative_or_directive:2; purpose_nadingin:1		Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 7:9 `khum` [finite_main_or_matrix; needs_analyzer_review]; Song of Solomon 5:16 `khum` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; imperative_or_directive; purpose_nadingin	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
lei-lei	lei	lei	buy	same_form_questionnaire_control	740	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:215; finite_main_or_matrix:24; purpose_nadingin:24. Current best rows: Proverbs 31:16 `lei` [finite_main_or_matrix; needs_analyzer_review]; Matthew 13:46 `lei` [finite_main_or_matrix; needs_analyzer_review]; Luke 9:13 `lei` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	unknown_or_needs_review:215; finite_main_or_matrix:24; purpose_nadingin:24		Proverbs 31:16 `lei` [finite_main_or_matrix; needs_analyzer_review]; Matthew 13:46 `lei` [finite_main_or_matrix; needs_analyzer_review]; Luke 9:13 `lei` [finite_main_or_matrix; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; purpose_nadingin	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
lian-lian	lian	lian	big	same_form_questionnaire_control	750	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:327; finite_main_or_matrix:19; quotative_or_say_complement:5. Current best rows: Psalms 76:1 `lian` [finite_main_or_matrix; needs_analyzer_review]; Psalms 70:4 `lian` [finite_main_or_matrix; needs_analyzer_review]; Psalms 35:27 `lian` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	unknown_or_needs_review:327; finite_main_or_matrix:19; quotative_or_say_complement:5		Psalms 76:1 `lian` [finite_main_or_matrix; needs_analyzer_review]; Psalms 70:4 `lian` [finite_main_or_matrix; needs_analyzer_review]; Psalms 35:27 `lian` [finite_main_or_matrix; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; quotative_or_say_complement	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
nuam-nuam	nuam	nuam	comfortable/want	same_form_questionnaire_control	760	2 clean verbal exact Bible rows survive after filtering. Main contexts: unknown_or_needs_review:229; negative_clause:161; finite_main_or_matrix:70. Best examples: Genesis 43:23 `“Nuam` [finite_main_or_matrix; needs_analyzer_review]; 1 Samuel 1:17 `“Nuam` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	unknown_or_needs_review:229; negative_clause:161; finite_main_or_matrix:70		Genesis 43:23 `“Nuam` [finite_main_or_matrix; needs_analyzer_review]; 1 Samuel 1:17 `“Nuam` [finite_main_or_matrix; needs_analyzer_review]	unknown_or_needs_review; negative_clause; finite_main_or_matrix	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
rin-rin	rin	rin	believe/trust	same_form_questionnaire_control	770	No current Bible attestation in the audit.	No current Bible attestation in the audit.					The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
sak-sak	sak	sak	build/cause	same_form_questionnaire_control	780	No clean verbal exact rows survive yet. Current Bible hits cluster in causative_or_derivational_sak:219. Current best rows: Zechariah 11:13 `sak` [causative_or_derivational_sak; exclude_for_now]; Zechariah 11:12 `sak` [causative_or_derivational_sak; exclude_for_now]; Zechariah 11:12 `sak` [causative_or_derivational_sak; exclude_for_now].	No current Bible attestation in the audit.	causative_or_derivational_sak:219		Zechariah 11:13 `sak` [causative_or_derivational_sak; exclude_for_now]; Zechariah 11:12 `sak` [causative_or_derivational_sak; exclude_for_now]; Zechariah 11:12 `sak` [causative_or_derivational_sak; exclude_for_now]	causative_or_derivational_sak	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II. Blocked noisy material includes sak.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
tom-tom	tom	tom	meet	same_form_questionnaire_control	790	No clean verbal exact rows survive yet. Current Bible hits cluster in unknown_or_needs_review:14; finite_main_or_matrix:3; relative_or_attributive_mi:1. Current best rows: Psalms 104:17 `tom` [finite_main_or_matrix; needs_analyzer_review]; Ezekiel 31:6 `tom` [finite_main_or_matrix; needs_analyzer_review]; 1 Kings 17:10 `tom` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	unknown_or_needs_review:14; finite_main_or_matrix:3; relative_or_attributive_mi:1		Psalms 104:17 `tom` [finite_main_or_matrix; needs_analyzer_review]; Ezekiel 31:6 `tom` [finite_main_or_matrix; needs_analyzer_review]; 1 Kings 17:10 `tom` [finite_main_or_matrix; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; relative_or_attributive_mi	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
uk-uk	uk	uk	rule	same_form_questionnaire_control	800	691 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:603; purpose_nadingin:64; negative_clause:12. Best examples: Zechariah 9:10 `uk` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 7:1 `uk` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 6:13 `uk` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:603; purpose_nadingin:64; negative_clause:12		Zechariah 9:10 `uk` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 7:1 `uk` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 6:13 `uk` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; purpose_nadingin; negative_clause	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
zawh-zawh	zawh	zawh	finish	same_form_questionnaire_control	810	175 clean verbal exact Bible rows survive after filtering. Main contexts: finite_main_or_matrix:111; negative_clause:49; purpose_nadingin:9. Best examples: Zechariah 5:11 `zawh` [finite_main_or_matrix; needs_analyzer_review]; Romans 9:31 `zawh` [finite_main_or_matrix; needs_analyzer_review]; Romans 4:10 `zawh` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	finite_main_or_matrix:111; negative_clause:49; purpose_nadingin:9		Zechariah 5:11 `zawh` [finite_main_or_matrix; needs_analyzer_review]; Romans 9:31 `zawh` [finite_main_or_matrix; needs_analyzer_review]; Romans 4:10 `zawh` [finite_main_or_matrix; needs_analyzer_review]	finite_main_or_matrix; negative_clause; purpose_nadingin	The questionnaire and Bible use the same written form in both slots, so this belongs in the control subsection rather than in the alternating-pair table.	same written form no overt alternation	Questionnaire uses a same-form mapping, so Bible tokens do not independently prove a distinct written Form II.	Keep it in the questionnaire-control appendix or paragraph rather than in the core showcase table or promoted-pair inventory.	no	no	no	Treat this as a same-form control; detailed source tracking stays in the lexical inventory.
om-omh	om	omh	exist	functional_or_stative_predicate	820	2263 clean verbal exact Bible rows survive after filtering. Main contexts: unknown_or_needs_review:3019; finite_main_or_matrix:1613; negative_clause:1021. Best examples: Zephaniah 3:13 `om` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:13 `om` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 6:14 `om` [finite_main_or_matrix; needs_analyzer_review].	No current Bible attestation in the audit.	unknown_or_needs_review:3019; finite_main_or_matrix:1613; negative_clause:1021		Zephaniah 3:13 `om` [finite_main_or_matrix; needs_analyzer_review]; Zephaniah 3:13 `om` [finite_main_or_matrix; needs_analyzer_review]; Zechariah 6:14 `om` [finite_main_or_matrix; needs_analyzer_review]	unknown_or_needs_review; finite_main_or_matrix; negative_clause	This item matters grammatically, but it should be discussed outside the core lexical-verb alternation table.	no clean form ii verb example	Blocked noisy material includes omsak, omsakkik, omsakin, ki-omsak.	Handle it separately from lexical stem alternation, outside the core showcase table and promoted-pair inventory.	no	no	no	Keep source and analyzer details in the lexical inventory; this row only marks the item as outside lexical stem alternation.
